,WAW,KRK,KAT,WRO,POZ,LCJ,GDN,SZZ,BZG,RZE,IEG,CRavg
WAW,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRK,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KAT,0.59120913,0.59120913,1,0.59120913,0.59120913,0.59120913,0.59120913,0.59120913,0.59120913,0.59120913,0.59120913,0.6283719363636364
WRO,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
POZ,0.79980099,0.79980099,0.79980099,0.79980099,1,0.79980099,0.79980099,0.79980099,0.79980099,0.79980099,0.79980099,0.8180008999999998
LCJ,0.30003621,0.30003621,0.30003621,0.30003621,0.30003621,1,0.30003621,0.30003621,0.30003621,0.30003621,0.30003621,0.36366928181818187
GDN,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0
SZZ,0.27078729,0.27078729,0.27078729,0.27078729,0.27078729,0.27078729,0.27078729,1,0.27078729,0.27078729,0.27078729,0.3370793545454545
BZG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0
RZE,0.40918338,0.40918338,0.40918338,0.40918338,0.40918338,0.40918338,0.40918338,0.40918338,0.40918338,1,0.40918338,0.4628939818181818
IEG,0.25847458,0.25847458,0.25847458,0.25847458,0.25847458,0.25847458,0.25847458,0.25847458,0.25847458,0.25847458,1,0.3258859818181819
