,HCU_i1,HCU_i2,HCU_i3,HCU_i4,Poprawki_i1,Poprawki_i2,Poprawki_i3,Poprawki_i4
KAT,2.1283528786,18.918692264,33.9354042746,4.3964814124,1.4716471214000002,13.081307736,23.464595725399995,6.1035185876
POZ,1.1997014853,7.998009907999999,19.1952237712,1.9284290102,0.3002985146999999,2.0019900920000007,4.8047762288000015,2.0715709898
LCJ,0.1800217267,2.783018034,7.2008690726,0.4748619568,0.4199782733,9.216981966,16.7991309274,3.4251380432
SZZ,0.189551101,2.7078728664,6.95923325056,0.46530526,0.510448899,7.2921271336,18.74076674944,1.4346947399999999
RZE,0.24551003359999998,2.455100322,4.6237722534,0.5365300933999999,0.35448996639999997,3.544899678,6.6762277466,2.1634699066000005
IEG,0.025847458,0.38771187,1.1088559482,0.064618645,0.074152542,9.61228813,62.291144051799996,2.935381355
WAW,0.0,0.0,0.0,0.0,10.5,36.0,129.4,7.0
KRK,0.0,0.0,0.0,0.0,3.1,19.0,31.6,7.9
WRO,0.0,0.0,0.0,0.0,1.5,12.0,18.0,3.0
GDN,0.0,0.0,0.0,0.0,1.0,15.0,42.9,2.5
BZG,0.0,0.0,0.0,0.0,0.3,6.0,3.4,1.2
